DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,1999,27688,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2000,28108,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2001,28951,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2002,29456,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2003,29970,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2004,30307,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2005,30767,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2006,31357,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2007,31825,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2008,32797,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2009,32879,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2010,33741,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2011,34993,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2012,36000,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2013,36912,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2014,37798,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2015,39002,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2016,39872,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2017,40913,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2018,42105,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2019,43506,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2020,43116,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2021,44416,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,2022,46271,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,1995,31424,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,1996,32466,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,1997,33130,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,1998,34160,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,1999,35455,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2000,36423,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2001,37431,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2002,39146,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2003,40408,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2004,41952,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2005,43139,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2006,44924,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2007,46275,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2008,48135,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2009,50056,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2010,51689,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2011,52491,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2012,53823,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2013,54538,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2014,56015,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2015,57017,
