id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
7914,Robert E. Watson,,63,2.8,1.4,1.3,32.3,68.9,8.0,-0.1
7915,Charles Akeem Watson Jr.,,600,7.2,1.9,2.5,41.9,37.3,13.1,24.1
7916,Earl Joseph Watson,,878,6.4,2.3,4.4,41.1,32.4,12.1,19.2
7917,Jamie Lovell Watson,,102,3.2,1.5,1.1,46.8,31.6,9.2,1.2
7918,Paul Watson,,46,3.8,1.9,0.7,42.0,39.2,9.7,0.8
7919,Peyton Tyler Watson,,23,3.3,1.6,0.5,49.2,42.9,12.8,0.3
7920,Ronald Michael Watts,,28,1.4,1.4,0.1,26.1,69.6,8.9,-0.1
7921,Samuel D. Watts,,54,5.2,1.8,0.8,38.0,34.1,6.9,0.0
7922,Donald Earl Watts,,437,8.9,3.2,6.1,41.3,59.7,14.9,13.8
7923,Maalik Benjamin Wayns,,29,2.7,0.3,1.0,30.0,22.6,5.7,-0.3
7924,David Earl Wear Jr.,,2,0.0,1.0,0.5,0.0,0.0,2.4,0.0
7925,Travis James Wear,,68,4.0,2.1,0.7,38.8,36.4,8.1,-0.1
7926,Clarence Weatherspoon,,915,11.5,7.5,1.5,47.1,19.6,15.6,58.4
7927,Nick Levoter Weatherspoon,,453,9.0,4.9,0.9,45.5,-,12.8,15.2
7928,Quinndary Vonta Weatherspoon,,42,2.1,0.8,0.6,45.2,18.8,8.4,0.2
7929,Kyle Donovan Weaver,,73,5.0,2.2,1.6,44.1,35.3,10.3,1.5
7930,James Webb III,,10,1.6,2.4,0.4,25.0,21.1,2.2,-0.1
7931,Jeffrey William Webb,,75,2.1,0.8,0.6,37.6,71.1,6.6,-0.1
7932,Marcus L. Webb,,9,4.3,1.1,0.2,52.0,0.0,20.1,0.1
7933,Anthony Jerome Webb,,814,9.9,2.1,5.3,45.2,31.4,15.1,40.2
7934,Mayce Edward Christopher Webber III,"
(C-Webb, The Truth)
",831,20.7,9.8,4.2,47.9,29.9,20.9,84.7
7935,Briante Weber,,45,3.2,1.9,1.4,40.8,19.2,10.1,0.6
7936,Forest John Weber,,50,3.5,-,0.1,29.2,69.6,-,1.4
7937,Elnardo Webster,,24,5.1,1.8,0.7,45.9,25.0,9.2,0.5
7938,Jeffrey Tyrone Webster,,11,1.6,0.6,0.3,34.8,33.3,7.0,0.0
7939,Martell Webster,"
(The Definition)
",580,8.7,3.1,1.0,41.8,38.2,11.7,24.7
7940,Marvin Nathaniel Webster,,617,7.0,6.8,1.2,48.8,28.6,13.8,29.4
7941,Scott Dean Wedman,,906,13.2,4.8,2.0,48.1,33.5,14.2,53.7
7942,Clarence Weems,"
(Money Weems)
",183,6.5,2.2,1.4,46.5,28.3,10.1,0.0
