id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
4225,Archie William Dees,,190,8.1,4.8,0.7,40.2,79.4,15.1,5.4
4226,Lennox Dominique Dehere,,402,8.0,1.5,2.6,41.1,37.8,12.7,7.3
4227,Robert Edward Dehnert,,10,1.4,-,0.0,40.0,33.3,-,0.1
4228,Bryce Alexander Dejean-Jones,,14,5.6,3.4,1.1,40.6,37.5,9.6,0.2
4229,Samuel Thomas Dekker,"
(Dekk, Sammy D)
",201,5.4,3.0,0.8,47.8,28.8,12.7,5.4
4230,Vincent Joseph Del Negro,,771,9.1,2.3,3.2,47.5,35.9,13.5,40.6
4231,Malcolm Hakeem Delaney,,127,5.7,1.8,2.8,37.7,30.8,8.9,1.1
4232,Bison Dele,,413,11.0,6.2,1.1,52.8,14.3,16.5,22.8
4233,Carlos Francisco Delfino,,507,8.1,3.6,1.7,40.1,36.5,12.6,22.5
4234,Ángel Luis Delgado Astacio Delgado,,2,1.5,2.0,0.0,20.0,-,4.3,0.0
4235,Tony Lorenzo Delk,,545,9.1,2.5,1.9,40.8,34.3,13.7,19.5
4236,Matthew Dellavedova,,479,5.2,1.7,3.5,38.5,36.3,9.7,10.2
4237,Fennis Marx Dembo,,31,1.2,0.7,0.2,33.3,0.0,7.8,-0.1
4238,Lawrence Curtis Demic,,206,4.7,3.9,0.5,45.9,0.0,8.1,1.4
4239,Dell Demps,,20,3.0,0.5,0.5,50.0,33.3,14.4,0.1
4240,George P. Dempsey,,315,5.0,3.6,2.3,40.7,66.1,12.4,10.8
4241,Luol Ajou Deng,,902,14.8,6.1,2.3,45.6,33.2,15.4,74.0
4242,Kenneth Stephen Dennard,,95,2.8,3.0,1.0,42.9,30.0,9.3,1.4
4243,Blaine Denning,,1,5.0,4.0,0.0,40.0,100.0,18.9,0.0
4244,Justin Lorenzo Dentmon,,8,3.3,1.0,1.3,33.3,14.3,3.8,-0.1
4245,Randall Drew Denton,,413,11.5,8.6,1.3,47.3,21.4,17.3,20.2
4246,Rodney G. Derline,,107,4.8,0.8,0.7,41.9,78.6,12.7,0.8
4247,Marcus Derrickson,"
(Doc)
",11,4.2,1.2,0.1,48.5,50.0,19.4,0.2
4248,David Deutsch,,19,1.1,1.1,0.8,16.7,45.0,2.4,-0.5
4249,Walter James Devlin,,210,7.1,2.1,2.1,36.6,74.2,11.7,3.8
4250,Ernest DiGregorio,,312,9.6,2.0,5.1,41.5,90.2,12.2,2.5
4251,Donte DiVincenzo,,273,9.1,4.6,2.8,42.0,36.2,12.7,13.4
4252,Moussa Diabaté,,22,2.7,2.3,0.2,51.1,50.0,14.2,0.4
4253,Mamadi Diakite,,49,3.2,2.5,0.4,47.4,23.5,10.9,0.8
4254,Derrick Jonathon Dial,,82,3.1,1.6,0.8,37.2,19.0,12.2,0.6
4255,Cheick Diallo,,183,5.2,4.1,0.4,59.6,28.6,17.0,6.3
4256,Hamidou Diallo,,263,8.6,3.8,1.1,49.5,27.4,13.6,6.2
4257,Boris Babacar Diaw,,1064,8.6,4.4,3.5,49.3,33.6,12.9,51.6
4258,Yakhouba Diawara,,187,3.5,1.4,0.7,35.7,30.1,6.1,1.7
4259,Guillermo Jose Díaz,,6,0.8,0.3,0.2,25.0,0.0,9.9,0.0
4260,Dan Dickau,,300,5.8,1.4,2.5,40.1,34.1,12.9,5.9
4261,Kaniel Dickens,,19,1.2,0.6,0.1,40.0,33.3,9.0,0.1
4262,Henry Dickerson,,23,2.0,0.2,0.8,36.6,62.5,6.0,-0.2
4263,Michael DeAngelo Dickerson,,212,15.4,2.9,2.6,43.2,40.2,13.4,9.6
4264,Clyde L. Dickey,,58,2.8,1.1,0.8,35.0,13.3,5.5,-0.8
4265,Derrek Dickey,,321,6.1,4.9,1.1,47.0,74.5,13.2,11.1
4266,Richard Lea Dickey,,45,2.8,1.8,1.1,29.4,68.1,9.7,0.3
4267,John Dickson,,21,1.7,1.6,0.1,35.9,-,8.2,0.0
4268,Travis Diener,,179,4.8,1.4,2.4,38.8,35.3,12.5,5.6
4269,Gorgui Sy Dieng,,628,7.3,5.6,1.3,49.6,35.5,16.2,30.7
4270,Ousmane Dieng,,39,4.9,2.7,1.2,42.0,26.5,9.3,0.4
4271,Conrad William Dierking,,706,10.0,6.7,1.5,41.7,69.7,13.4,13.3
4272,Coby Joseph Dietrick,,842,6.1,4.5,2.1,46.2,19.4,12.6,27.7
4273,Craig H. Dill,,65,6.8,5.8,0.5,38.3,0.0,9.6,0.4
4274,Dwaine R. Dillard,,3,1.3,3.0,0.7,33.3,-,7.2,0.0
4275,Mickey Anthony Dillard,,33,2.2,0.5,1.0,36.7,0.0,7.0,-0.2
4276,Robert Orville Dille,,57,5.2,-,0.7,19.7,66.7,-,-0.9
4277,John Turley Dillon,,22,1.6,-,0.2,18.2,72.7,-,-0.4
4278,Byron Stewart Dinkins,,45,3.4,1.2,2.1,40.6,11.1,9.1,0.3
4279,Jackie Dinkins,,18,2.5,1.1,0.4,41.5,55.0,13.7,0.1
4280,Harry R. Dinnel Jr.,,11,1.7,2.1,0.5,31.6,-,4.5,0.0
4281,William E. Dinwiddie,,220,4.4,3.3,0.6,36.9,61.0,8.2,-2.2
4282,Spencer Gray Dinwiddie,"
(The Mayor)
",466,13.8,3.1,5.3,41.7,33.3,15.5,28.7
4283,Ikechukwa Somotochukwa Diogu,,225,6.0,3.1,0.3,50.9,50.0,15.6,6.5
4284,Desagana Ngagne Diop,,601,2.0,3.7,0.4,42.7,16.7,9.8,12.8
4285,Terry Gilbert Dischinger,,652,13.8,5.6,1.8,50.6,75.8,16.3,56.3
4286,Fred Homer Diute,,7,1.6,1.9,0.6,9.5,58.3,-2.3,-0.3
4287,Vlade Divac,,1134,11.8,8.2,3.1,49.5,23.5,17.7,96.4
4288,Juan Dixon,,436,8.4,1.9,1.8,41.3,34.1,12.8,6.1
4289,Glenn Earl Dodd,,9,1.7,-,0.7,22.2,60.0,-,-0.3
4290,Michael Doleac,,587,4.9,3.3,0.6,43.9,12.5,10.8,12.7
4291,Joseph Dolhon,,77,6.4,1.4,2.3,31.1,73.4,-,3.1
4292,Robert W. Doll,,196,8.4,-,1.4,28.6,66.2,-,10.2
4293,James Lee Donaldson III,"
(J.D., Dukes, American Tourister)
",957,8.6,7.8,0.8,57.1,-,13.8,62.3
4294,Luka Dončić,,330,27.6,8.6,8.0,46.6,33.8,25.2,39.2
4295,Robert E. Donham,,273,6.7,3.9,2.6,48.0,50.7,14.2,18.0
4296,William John Donovan,,44,2.4,0.6,2.0,40.4,0.0,8.7,-0.1
4297,Henry Harry Donovan,,45,5.6,-,0.8,32.7,68.9,-,1.0
4298,Keyon Latwae Dooling,,728,7.0,1.3,2.2,41.6,34.9,11.5,18.5
4299,Aleksandar Đorđević,,8,3.1,0.6,0.6,50.0,71.4,12.5,0.1
4300,Jacky Dorsey,,60,2.4,2.4,0.3,38.9,-,8.4,0.3
4301,Richard Elmer Dorsey,,130,2.6,3.9,0.4,53.4,0.0,12.1,2.9
4302,Ronald Dorsey,,1,4.0,5.0,0.0,25.0,0.0,-3.0,-0.1
4303,Tyler Dorsey,"
(Mr. March)
",107,6.6,2.3,1.3,39.2,35.1,10.7,1.1
4304,Luguentz Dort,,213,13.4,3.9,1.7,39.3,33.2,10.8,5.5
4305,Quamdeen Ayopo Dosunmu,,157,8.7,2.8,2.9,50.6,34.4,10.7,6.0
4306,Damyean Da'Kethe Dotson,,213,7.5,2.5,1.5,41.7,34.5,10.3,3.0
4307,Devon Dotson,,28,2.0,0.9,1.1,42.6,20.0,11.0,0.2
4308,Quincy Douby,,143,4.1,1.1,0.7,38.9,31.2,9.7,0.0
4309,Bruce Douglas,,8,1.8,1.8,2.1,29.2,0.0,5.7,-0.2
4310,John David Douglas,,67,6.7,1.4,2.2,46.1,31.1,12.0,0.5
4311,Leon Douglas,,456,7.9,6.5,1.1,49.5,0.0,11.9,15.2
4312,Sherman Douglas,"
(The General)
",765,11.0,2.2,5.9,48.4,26.7,15.1,32.9
4313,Toney Bernard Douglas,,394,7.6,2.2,2.3,40.4,35.4,13.2,12.1
4314,Chris Douglas-Roberts,"
(CDR, Fresh, The Dread Pirate, Supreme Bey)
",222,7.1,2.1,1.1,43.9,32.9,11.5,5.4
4315,Sekou Oumar Doumbouya,,96,5.6,2.8,0.7,38.8,25.6,6.9,-0.4
4316,Lloyd Dove,,222,11.1,6.0,1.0,45.7,22.2,14.0,7.2
4317,Jerry L. Dover,,4,2.0,0.0,0.3,33.3,40.0,10.1,0.0
4318,Zabian Dowdell,,24,5.0,0.8,2.1,40.8,30.0,11.7,-0.1
4319,William K. Downey,,3,0.0,-,0.0,0.0,-,-,-0.1
4320,Steve Downing,,27,2.4,1.5,0.4,31.8,55.0,9.2,-0.2
4321,Jeff Dowtin,,34,2.4,1.2,1.2,39.8,24.0,9.0,0.4
4322,Daniel F. Doyle,,4,4.0,2.0,0.8,50.0,80.0,22.2,0.1
4323,Milton Doyle,,10,3.4,1.8,1.0,27.7,17.4,5.2,-0.1
4324,Perry Dozier Jr.,,121,5.7,2.7,1.6,40.2,30.7,10.3,1.7
4325,Terry Linnard Dozier,,9,2.4,1.7,0.3,33.3,0.0,5.1,-0.2
4326,Goran Dragić,,946,13.3,3.0,4.7,45.9,36.2,16.5,56.7
4327,Zoran Dragić,,16,1.8,0.5,0.3,36.7,21.4,8.2,-0.1
4328,Gregory Alan Dreiling,,474,2.1,2.1,0.4,46.7,33.3,7.4,4.0
4329,Bryce Homer Drew,,243,4.4,1.2,2.2,38.2,37.1,9.6,2.4
4330,John Edward Drew,"
(J.E.)
",739,20.7,6.9,1.7,47.0,17.5,20.7,68.9
4331,Larry Donnell Drew Sr.,,714,11.4,1.8,5.2,46.7,29.1,14.0,24.4
4332,Larry Donelle Drew II,,22,2.9,0.8,2.5,32.9,20.0,4.1,-0.5
4333,Clyde Austin Drexler,"
(Clyde the Glide)
",1086,20.4,6.1,5.6,47.2,31.8,21.1,135.6
4334,Nathan Allen Driggers,,15,2.4,1.5,0.4,30.2,0.0,6.8,-0.2
4335,Edward Cuthbert Driscoll Jr.,,274,4.1,4.1,0.8,41.9,-,10.9,5.1
4336,Predrag Drobnjak,,278,7.9,3.5,0.8,42.5,34.0,12.6,5.6
4337,Ralph Kim Drollinger,,6,2.5,3.2,2.3,50.0,-,5.3,-0.2
4338,Andre Jamal Drummond,"
(Big Penguin)
",785,13.2,12.7,1.3,54.2,12.8,21.8,70.5
4339,Dennis DuVal,,50,1.9,0.6,0.7,36.1,66.7,11.2,0.0
4340,Christopher Theoret Duarte,,101,10.7,3.4,1.8,41.0,34.7,10.9,0.9
4341,Richard J. Duckett,,34,3.9,1.6,1.4,34.2,88.9,8.0,0.2
4342,Kevin Jerome Duckworth,,684,11.8,5.8,0.9,46.8,20.8,11.9,24.7
4343,Charles Dudley,,361,5.3,3.0,3.4,49.7,67.2,14.0,14.0
4344,Christen Guilford Dudley,,886,3.9,6.2,0.4,41.2,0.0,10.7,26.2
4345,Jared Anthony Dudley,,904,7.3,3.2,1.5,46.3,39.3,12.5,43.0
4346,Terry Duerod,,143,6.7,1.1,1.2,46.2,32.9,12.1,1.0
4347,Robert John Duffy,,17,1.1,-,0.0,21.9,71.4,-,0.0
4348,Robert Joseph Duffy,,94,4.3,1.1,1.8,39.6,64.9,10.8,0.5
4349,Chris Nicholas Duhon,,606,6.5,2.3,4.4,39.3,36.3,10.8,25.0
4350,Duje Dukan,,1,6.0,4.0,1.0,20.0,40.0,4.2,0.0
4351,David Duke Jr.,,45,4.2,2.1,0.8,40.3,20.4,9.4,0.3
4352,Walter F. Dukes,,553,10.4,11.3,1.1,36.9,70.0,14.4,24.0
4353,Joe Dumars III,,1018,16.1,2.2,4.5,46.0,38.2,15.3,86.2
4354,Richard Wayne Dumas,,1,2.0,1.0,0.0,20.0,-,-19.4,-0.1
4355,Richard Wayne Dumas Jr.,,102,10.6,3.4,1.1,50.9,23.1,15.9,4.5
4356,Tony Dumas,,156,7.3,1.3,1.2,40.4,32.7,12.0,1.3
4357,Andrew M. Duncan,,136,5.5,2.1,0.7,40.8,59.6,-,6.8
4358,Timothy Theodore Duncan,"
(Timmy, The Big Fundamental, Groundhog Day, Old Man Riverwalk, The Stone Buddha)
",1392,19.0,10.8,3.0,50.6,17.9,24.2,206.4
4359,Michael Joseph Dunleavy Sr.,,438,8.0,1.6,3.9,46.7,33.9,14.0,16.1
4360,Michael Joseph Dunleavy Jr.,"
(The Natural)
",986,11.2,4.3,2.2,44.1,37.7,13.9,58.5
4361,Kristofer Michael Dunn,,267,8.6,3.4,4.3,43.2,31.3,12.4,5.8
4362,Patrick L. Dunn,,28,2.5,1.1,1.0,31.1,82.4,9.4,-0.1
4363,Theodore Roosevelt Dunn,,993,5.1,4.4,1.6,45.7,5.0,10.4,39.8
4364,Ronald Edmund Dupree Jr.,,157,3.5,2.2,0.6,42.7,38.5,10.2,1.9
4365,Kevin Wayne Durant,"
(Durantula, KD, Slim Reaper, Easy Money Sniper, The Servant, Green Room)
",986,27.3,7.1,4.3,49.9,38.5,25.3,161.9
4366,Jalen Anthony Duren,,67,9.1,8.9,1.1,64.8,0.0,17.3,4.5
4367,John Thomas Duren,,201,3.5,1.1,2.0,43.5,12.0,6.9,-0.8
4368,Jarrett M. Durham,,1,0.0,0.0,0.0,-,-,-52.7,0.0
4369,Patrick Wayne Durham,,64,5.0,1.7,0.9,46.9,19.2,11.4,0.7
4370,Devin George Durrant,,63,5.0,2.1,1.3,41.4,0.0,8.6,-0.2
4371,Kenneth L. Durrett,"
(Kenny)
",120,4.0,1.9,0.5,43.4,63.7,10.7,0.6
4372,Trevon Tyler Duval,,3,1.7,0.3,0.7,66.7,100.0,38.3,0.1
4373,John P. Dwan,,60,4.6,-,2.2,31.8,49.3,-,1.2
4374,Craig Dykema,,32,1.3,0.4,0.5,45.9,50.0,11.1,0.2
4375,Eugene Walter Dyker,,11,1.5,1.5,0.5,23.1,50.0,0.4,-0.3
4376,Jerome Clifton Dyson,,9,7.4,2.1,2.0,39.6,12.5,11.3,0.1
4380,Ledell Eackles,,441,10.8,2.2,1.7,44.5,33.6,13.8,10.8
4381,James Scott Eakins,,767,10.8,7.3,1.8,50.4,0.0,16.5,57.5
4382,Acie Earl,,193,5.1,2.7,0.3,40.3,0.0,10.6,0.3
4383,Edwin Graffan Earle,,2,2.0,1.0,0.0,50.0,50.0,15.2,0.0
4384,Cleanthony Early,,56,4.3,2.2,0.8,34.6,26.3,7.2,-0.6
4385,Penny Ann Early,,1,0.0,0.0,0.0,-,-,-,0.0
4386,Tari Jordan Eason,,82,9.3,6.0,1.1,44.8,34.3,15.2,2.6
4387,Mark E. Eaton,,875,6.0,7.9,1.0,45.8,0.0,10.9,44.8
4388,Jerry Lee Eaves,,168,6.7,1.2,2.5,47.2,7.1,11.8,2.6
4389,Devin Maurice Ebanks,,63,3.6,1.9,0.4,38.5,22.2,9.6,0.5
4390,William Edward Ebben,,8,1.9,1.0,0.5,21.4,75.0,1.1,-0.2
4391,Allen Dean Eberhard,,220,6.8,3.5,0.8,43.3,79.7,11.2,5.3
4392,Ndudi Ebi,,19,2.1,1.0,0.2,48.6,0.0,14.6,0.1
4393,Roy Lester Ebron,,40,6.2,4.4,0.5,48.8,0.0,18.7,1.3
4394,Jaime Jesús Echenique,,1,0.0,0.0,0.0,-,-,0.0,0.0
4395,Jarell Eddie,,34,2.6,0.9,0.1,30.2,29.2,10.1,0.2
4396,Patrick Eddie,,4,1.0,0.3,0.0,22.2,-,-8.8,-0.1
4397,Thomas Dwight Eddleman,,267,12.1,4.5,2.1,35.2,63.0,11.0,7.3
4398,Kenton Scott Edelin,,10,1.1,2.6,1.0,30.8,-,3.3,0.1
4399,Charles Edge,,155,7.7,6.3,0.7,50.2,0.0,16.3,6.5
4400,Bobby Joe Edmonds,,75,7.7,5.0,0.4,43.4,16.7,12.1,2.5
4401,Keith Andre Edmonson,,87,6.0,1.5,0.6,44.8,0.0,12.6,0.4
4402,Tyus Dwayne Edney,,226,7.6,1.7,4.0,40.5,32.2,13.6,6.8
4403,Anthony Edwards,"
(Ant-Man, Ant)
",223,21.8,5.1,3.7,44.1,35.2,16.0,8.9
4404,William Allen Edwards,,3,2.0,4.7,1.3,11.1,0.0,-0.4,-0.3
4405,Theodore Edwards,,704,10.8,3.4,2.0,47.5,33.5,12.8,24.2
4406,Carsen Cade Edwards,"
(C-Boogie, Eddie House)
",72,3.7,1.1,0.7,36.4,29.7,8.1,0.3
4407,Corsley Edwards,,10,2.7,2.5,0.3,32.3,-,8.6,0.1
4408,Douglas Edwards,,85,2.4,1.8,0.7,37.8,0.0,8.4,0.2
4409,Franklin Delano Edwards,,296,6.1,1.0,2.6,44.9,3.0,12.6,3.9
4410,James Franklin Edwards,,1168,12.7,5.1,1.3,49.5,4.8,14.7,59.7
4411,Jay Charles Edwards,,4,1.8,0.5,1.0,42.9,0.0,7.8,0.0
4412,John Edwards,,65,1.5,1.0,0.1,44.7,-,6.0,0.1
4413,Kessler Donovan Edwards,,84,4.6,2.8,0.6,40.6,34.0,8.3,1.0
4414,Kevin Durell Edwards,,604,10.9,2.7,2.7,42.3,33.5,12.7,12.5
4415,Rob Edwards,,2,1.5,1.5,0.0,25.0,25.0,-0.8,0.0
4416,Shane Edwards,,2,1.0,1.0,0.0,33.3,-,-1.0,0.0
4417,Vincent Malik Edwards,,2,1.5,1.0,0.0,25.0,25.0,3.8,0.0
4418,John Francis Egan,,712,7.8,1.8,3.0,42.9,80.5,12.2,23.7
4419,Lonnie J. Eggleston,,2,2.0,-,0.5,25.0,66.7,-,0.0
4420,Edwin S. Ehlers,,99,8.1,-,1.8,28.6,61.8,-,3.0
4421,Joel Craig Ehlo,"
(Eggs, Mr. Everything)
",873,8.6,3.6,2.8,45.3,36.9,13.4,41.2
4422,Richard A. Eichhorst,,1,2.0,1.0,3.0,50.0,-,12.3,0.0
4423,Howard Jonathan Eisley,,786,6.5,1.7,3.5,40.7,35.0,11.5,19.5
4424,Obinna Ralph Ekezie,,143,3.6,2.7,0.2,42.3,0.0,11.2,1.7
4425,Khalid El-Amin,,50,6.3,1.6,2.9,37.0,33.3,12.2,0.6
4426,Donald Carlton Eliason,,1,0.0,-,0.0,0.0,-,-,0.0
4427,Mario Antoine Elie,"
(Junkyard Dog)
",732,8.6,2.8,2.6,47.3,36.5,13.1,48.9
4428,Charles James Elleby,,88,4.6,2.9,1.1,39.0,27.5,9.2,0.5
4429,Eugene Raymond Ellefson,,6,1.0,2.7,0.0,11.1,100.0,-,-0.1
4430,Henry John Ellenson,,83,4.1,2.5,0.6,37.1,33.6,10.7,0.4
4431,Wayne Robert Ellington Jr.,"
(The Man with the Golden Arm)
",770,8.0,2.1,1.1,41.0,38.2,11.1,21.1
4432,Robert Alan Elliott,,141,7.0,3.6,1.4,49.4,33.3,12.3,3.0
4433,Sean Michael Elliott,"
(Ninja, Silly)
",742,14.2,4.3,2.6,46.5,37.5,13.9,55.7
4434,Maurice H. Ellis,,168,3.6,2.9,0.7,43.1,0.0,10.2,2.5
4435,Alexander Ellis,,118,5.1,5.2,0.7,40.2,69.5,12.8,3.1
4436,Dale Ellis,"
(Lamar Mundane, SIlent Assassin)
",1209,15.7,3.5,1.4,47.9,40.3,16.0,84.7
4437,Harold Ellis,,145,5.8,2.0,0.6,52.7,4.8,16.4,4.6
4438,Joseph Franklin Ellis,,524,8.8,5.1,1.4,39.8,72.7,12.1,5.0
4439,Keon Tyrese Ellis,,16,1.5,0.5,0.4,43.8,50.0,14.0,0.2
4440,LaPhonso Darnell Ellis,,624,11.9,6.5,1.6,45.2,30.2,14.6,32.8
4441,LeRon Perry Ellis,,91,3.0,2.4,0.3,43.3,-,11.9,1.2
4442,Leroy Ellis,,1048,9.7,8.3,1.3,44.2,72.8,13.2,46.3
4443,Monta Ellis,,833,17.8,3.5,4.6,45.1,31.4,16.0,41.9
4444,Pervis Ellison,,474,9.5,6.7,1.5,51.0,5.0,15.2,21.8
4445,Leonard J. Elmore,,658,6.0,5.1,0.9,41.0,20.0,11.5,18.9
4446,Francisco Marinho Robby Elson,"
(Geico)
",472,3.7,3.5,0.6,47.8,18.8,10.0,11.7
4447,Darrell Eugene Elston,,77,7.8,2.2,2.6,40.2,16.7,8.7,-0.3
4448,Melvin Anderson Ely,,375,5.3,3.2,0.7,46.0,0.0,10.6,4.0
4449,Joel Hans Embiid,,394,27.2,11.2,3.4,50.1,33.7,27.9,56.0
4450,Wayne Richard Embry,"
(Goose, The Wall)
",831,12.5,9.1,1.4,44.0,64.0,15.1,37.8
4451,Andre Emmett,,14,1.4,0.6,0.1,46.2,0.0,8.5,0.1
4452,Ned Robert Endress,,16,0.9,-,0.3,12.0,53.3,-,-0.1
4453,Wayne Edward Engelstad,,11,2.5,1.5,0.6,37.9,-,12.4,0.0
4454,Christopher Aaron Engler,,195,1.8,2.0,0.2,41.1,-,7.2,0.6
4455,Albert Jay English,,151,9.9,2.1,2.1,43.5,13.8,11.6,1.1
4456,Alexander English,"
(The Blade, Flick)
",1193,21.5,5.5,3.6,50.7,21.7,19.9,100.7
4457,Claude W. English,,18,1.5,1.1,0.3,26.2,71.4,3.8,-0.3
4458,Stephen English,,50,3.6,1.1,0.9,41.6,34.4,6.4,0.0
4459,Kim English Jr.,,41,2.9,0.9,0.6,37.5,28.0,7.9,0.2
4460,Scott Garrison English,,105,5.6,4.0,1.0,41.4,10.0,11.9,0.9
4461,Gene E. Englund,,46,7.8,-,0.9,38.0,79.2,-,4.2
4462,James Alfred Ennis III,"
(Ennis the Menace)
",395,6.7,3.3,0.9,45.7,36.0,11.7,16.2
4463,Tyler Cameron Ennis,,186,4.2,1.3,1.9,41.9,31.7,10.3,1.3
4464,Raymond Edward Epps Jr.,,13,2.0,0.4,0.2,43.5,75.0,7.9,0.1
4465,Semih Erden,,69,3.8,2.8,0.4,54.6,-,10.1,1.8
4466,Baltico S. Erias,,18,8.2,4.6,1.4,34.7,63.8,8.9,-0.1
4467,Keith Raymond Erickson,,766,9.5,4.5,2.6,43.5,76.9,12.2,25.2
4468,Julius Winfield Erving II,"
(Dr. J, The Doctor, J.W., The Claw, Black Moses, Houdini, Little Hawk, Doc, Julie, Super Julius)
",1243,24.2,8.5,4.2,50.6,29.8,23.6,181.1
4469,Evan Bruce Eschmeyer,,153,2.8,3.9,0.5,46.3,-,10.6,4.0
4470,John Wallace Eskridge,,23,2.8,-,0.6,36.2,70.0,-,0.6
4471,Vincenzo Esposito,,30,3.9,0.5,0.8,36.0,23.2,5.2,-0.6
4472,Drew Eubanks,,248,6.1,4.7,1.0,60.7,34.1,17.1,11.1
4473,William D. Evans,,53,1.9,0.7,1.9,36.8,0.0,4.1,0.4
4474,Robert W. Evans,,47,3.0,-,1.2,28.0,68.2,-,-0.3
4475,Brian Keith Evans,,102,3.7,1.6,0.8,38.1,34.3,11.8,1.7
4476,Earl Joseph Evans II,,36,4.4,2.1,1.0,45.0,38.9,10.3,0.1
4477,Jacob Evans III,,59,2.8,1.1,0.9,33.7,31.5,4.8,-0.6
4478,Jawun Evans,,56,4.2,1.7,2.0,34.5,26.3,6.7,-0.4
4479,Jeremy Evans,,250,3.5,2.6,0.4,56.9,23.1,17.3,8.2
4480,Maurice Eugene Evans,,562,6.7,2.5,0.7,44.2,36.3,11.9,21.7
4481,Michael Leeroyall Evans,,591,7.7,1.4,2.6,45.2,30.7,12.0,9.3
4482,Reginald Jamaal Evans,"
(The Collector, Joker)
",809,4.1,7.1,0.6,46.5,9.1,11.7,27.1
4483,Tyreke Jamir Evans,,594,15.7,4.6,4.8,44.0,32.3,17.1,28.4
4484,Daniel George Ewing,,127,3.4,1.2,1.4,38.9,29.5,8.3,0.8
4485,Patrick Aloysius Ewing,,1183,21.0,9.8,1.9,50.4,15.2,21.0,126.4
4486,Patrick Aloysius Ewing Jr.,,7,0.4,0.3,0.3,0.0,0.0,0.6,-0.1
4487,Dante Exum,,245,5.7,1.8,2.1,40.7,30.5,8.3,3.1
4488,Christian Eyenga,,51,6.3,2.7,0.8,41.1,27.7,8.6,-0.4
4489,Ifeaanyi Festus Ezeli,,170,4.2,4.3,0.4,51.3,-,13.4,5.9
4490,John Joseph Ezersky,,135,7.6,-,1.3,28.8,66.9,-,1.5
4492,Joseph A. Fabel,,30,2.1,-,0.1,26.0,50.0,-,-0.2
4493,John Russell Fairchild Jr.,,165,6.6,3.2,0.7,40.4,36.8,11.9,1.8
4494,Elhadji Tacko Sereigne Diop Fall,,37,2.2,2.4,0.2,67.3,-,18.8,0.7
4495,Philip M. Farbman,,48,3.2,-,0.8,30.7,67.9,-,1.4
4496,Kenneth Bernard Faried,,478,11.4,8.1,1.0,54.6,22.2,19.7,38.8
4497,Richard L. Farley,,211,6.5,2.5,1.8,38.4,70.0,12.1,8.2
4498,Jordan Robert Farmar,,504,7.7,1.9,2.9,42.3,37.4,13.3,13.9
4499,Desmon Kenyatta Farmer,,11,2.4,0.6,1.0,31.0,25.0,6.0,0.0
4500,James Hubert Farmer III,,136,5.3,1.4,0.8,42.8,28.2,10.9,0.7
4501,Don Michael Farmer,,423,6.7,4.6,1.3,39.3,81.4,9.9,6.3
4502,Anthony Todd Farmer,,101,5.3,3.2,0.8,39.5,18.9,15.5,3.2
4503,Robert Edward Faught,,51,6.7,-,0.6,29.5,57.5,-,1.7
4504,Vítor Faverani,,37,4.4,3.5,0.4,43.5,30.0,11.0,0.3
4505,Derrick Bernard Favors,"
(Fave)
",790,10.6,7.1,1.1,53.4,19.8,18.8,60.2
4506,Nick Fazekas,,26,4.1,3.4,0.4,56.1,0.0,19.6,0.8
4507,Samuel David Fedor,,7,0.9,0.9,0.1,30.0,0.0,2.2,-0.1
4508,Robert Joseph Feerick,,221,13.3,-,2.0,36.2,80.5,-,41.7
4509,Raymond G. Feher,,48,5.2,1.5,0.8,53.1,76.8,15.9,1.5
4510,Jamie Feick,,201,4.5,7.1,0.7,42.4,40.0,12.4,8.2
4511,Ronald E. Feiereisel,,10,3.0,0.6,0.6,28.6,87.5,12.2,0.0
4512,George Feigenbaum,,17,3.1,1.4,1.1,22.8,48.5,2.2,-0.6
4513,Dave Scott Feitl,,275,4.3,3.0,0.5,43.3,0.0,9.8,1.4
4514,Kahlil Ameer Felder Jr.,,58,3.8,1.0,1.3,36.4,26.8,9.3,-0.4
4515,Cristiano Silva Felício,,252,4.3,3.9,0.7,57.2,0.0,14.0,9.0
4516,Carrick Felix,,7,2.7,0.9,0.6,50.0,40.0,13.3,0.0
4517,Noel Felix,,12,1.5,1.1,0.2,24.0,33.3,-1.1,-0.3
4518,Raymond Darlington Felix,,637,10.9,8.9,0.7,41.2,67.8,17.1,39.6
4519,Raymond Bernard Felton Jr.,"
(Felts)
",971,11.2,3.0,5.2,41.2,32.9,13.8,40.2
4520,John Phillip Fendley,,103,2.8,1.2,0.9,34.4,74.2,10.2,2.1
4521,William Warren Fenley,,33,2.6,-,0.5,22.5,51.1,-,-0.1
4522,Desmond Ferguson,,7,1.9,0.6,0.1,41.7,37.5,11.3,0.0
4523,Terrance Eugene Ferguson Jr.,"
(2K, T-Ferg)
",204,4.5,1.3,0.7,40.4,33.4,5.6,4.4
4524,Rodolfo Fernández,,249,9.1,2.4,2.2,39.9,36.0,14.0,14.2
4525,Bruno Afonso David Fernandes Fernando,,158,3.4,3.0,0.6,52.7,13.3,13.2,2.1
4526,Eric Robert Fernsten,,218,2.4,1.7,0.4,44.5,-,11.7,3.3
4527,Albert R. Ferrari,"
(Moose, Bronco, Mugsy)
",371,6.8,2.2,2.5,36.8,76.0,9.5,8.9
4528,Rolando Ferreira Jr.,,12,0.8,1.1,0.1,5.6,-,-7.6,-0.2
