id,season,age,tm,lg,pos,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
12217,1947-48,29,stb,baa,sg,6,"","",4.3,14.3,.302,,,,,,,,2.3,3.0,.778,,,"",0.3,,,,2.5,11.0,7336
12218,1948-49,30,stb,baa,sg,2,"","",2.5,6.0,.417,,,,,,,,0.0,0.0,"",,,"",0.0,,,,2.0,5.0,7336
12219,1961-62,25,cin,nba,sg,4,"",13.3,2.0,4.8,.421,"","","",2.0,4.8,.421,.421,1.3,1.3,1.000,"","",1.3,0.8,,"","",0.5,5.3,7338
12220,1962-63,26,cin,nba,sg,12,"",16.7,2.8,6.8,.402,"","","",2.8,6.8,.402,.402,2.6,3.7,.705,"","",1.3,2.3,,"","",1.6,8.1,7338
12221,1963-64,27,cin,nba,sg,7,"",9.4,1.1,3.7,.308,"","","",1.1,3.7,.308,.308,0.7,1.0,.714,"","",1.3,0.6,,"","",1.1,3.0,7338
12222,1964-65,28,cin,nba,sg,4,"",37.5,4.5,12.0,.375,"","","",4.5,12.0,.375,.375,5.3,5.5,.955,"","",2.8,5.3,,"","",2.8,14.3,7338
12223,1965-66,29,cin,nba,sg,5,"",31.4,4.4,11.8,.373,"","","",4.4,11.8,.373,.373,4.2,4.4,.955,"","",2.4,2.6,,"","",2.4,13.0,7338
12224,1966-67,30,cin,nba,sg,4,"",30.0,4.5,12.0,.375,"","","",4.5,12.0,.375,.375,2.3,3.0,.750,"","",2.0,2.8,,"","",2.0,11.3,7338
12225,1971-72,35,vir,aba,sg,11,"",27.0,4.2,9.0,.465,0.1,0.5,.200,4.1,8.5,.479,.470,2.9,3.4,.865,"","",1.7,1.5,,"",1.0,2.5,11.4,7338
12226,1971-72,25,dnr,aba,sf,7,"",14.1,1.7,3.9,.444,0.3,0.4,.667,1.4,3.4,.417,.481,0.6,0.7,.800,"","",2.6,1.0,"","",1.0,2.0,4.3,7339
12227,1972-73,26,dnr,aba,pg,5,"",37.0,3.0,10.8,.278,0.0,0.4,.000,3.0,10.4,.288,.278,3.6,4.0,.900,2.0,3.0,5.0,5.2,"","",3.6,3.4,9.6,7339
12228,1974-75,28,uts,aba,pg,6,"",27.5,5.3,12.2,.438,0.5,1.8,.273,4.8,10.3,.468,.459,2.8,3.3,.850,0.3,1.7,2.0,5.8,0.3,0.0,3.7,4.0,14.0,7339
12229,1975-76,29,cle,nba,sg,13,"",29.2,5.5,12.6,.433,"","","",5.5,12.6,.433,.433,1.7,1.9,.880,0.8,2.5,3.3,2.3,0.8,0.2,"",3.2,12.6,7341
12230,1976-77,30,cle,nba,sf,3,"",19.0,3.0,13.0,.231,"","","",3.0,13.0,.231,.231,1.0,1.0,1.000,1.0,1.7,2.7,1.3,1.0,0.3,"",1.7,7.0,7341
12231,1977-78,31,cle,nba,sg,2,"",17.0,4.0,6.5,.615,"","","",4.0,6.5,.615,.615,0.0,0.0,"",1.0,0.5,1.5,0.5,0.0,0.0,0.5,1.0,8.0,7341
12232,1991-92,26,lac,nba,sf,5,5,29.6,4.4,11.2,.393,0.0,0.0,"",4.4,11.2,.393,.393,2.8,3.0,.933,2.0,3.6,5.6,1.8,0.8,2.4,2.0,4.8,11.6,7343
12233,1992-93,27,nyk,nba,sf,15,15,25.9,4.3,9.2,.471,0.0,0.0,"",4.3,9.2,.471,.471,2.5,3.3,.740,1.8,2.2,4.0,1.3,0.6,0.9,1.9,3.5,11.1,7343
12234,1993-94,28,nyk,nba,sf,25,18,24.5,3.4,7.1,.480,0.0,0.1,.000,3.4,7.0,.489,.480,2.0,2.8,.729,1.4,2.4,3.8,1.0,0.5,1.0,1.3,3.7,8.8,7343
12235,1994-95,29,nyk,nba,sf,11,11,27.5,4.6,8.6,.537,0.0,0.2,.000,4.6,8.5,.548,.537,1.5,2.7,.567,1.8,2.0,3.8,1.2,1.2,1.5,2.2,4.0,10.8,7343
12236,1995-96,30,sas,nba,pf,10,8,16.5,2.4,4.8,.500,0.0,0.0,"",2.4,4.8,.500,.500,0.3,0.8,.375,1.1,2.6,3.7,1.0,0.7,1.0,0.8,2.8,5.1,7343
12237,1989-90,22,bos,nba,pg,3,0,3.0,0.3,0.7,.500,0.0,0.0,"",0.3,0.7,.500,.500,0.0,0.0,"",0.3,0.0,0.3,1.0,0.3,0.0,0.0,0.0,0.7,7344
12238,2001-02,26,sas,nba,sg,4,0,4.8,0.5,0.8,.667,0.0,0.0,"",0.5,0.8,.667,.667,0.3,0.5,.500,0.5,0.3,0.8,0.5,0.5,0.3,0.8,1.3,1.3,7345
12239,1946-47,27,stb,baa,"",1,"","",0.0,0.0,"",,,,,,,,0.0,1.0,.000,,,"",0.0,,,,1.0,0.0,7350
12240,1988-89,27,phi,nba,sg,3,3,16.0,3.0,4.7,.643,0.0,0.0,"",3.0,4.7,.643,.643,0.3,0.7,.500,0.7,1.7,2.3,1.0,0.3,0.0,2.0,3.0,6.3,7352
12241,1989-90,28,phi,nba,sf,1,0,15.0,5.0,8.0,.625,0.0,1.0,.000,5.0,7.0,.714,.625,1.0,2.0,.500,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,11.0,7352
12242,1990-91,29,bos,nba,sf,10,0,8.6,0.9,2.1,.429,0.0,0.1,.000,0.9,2.0,.450,.429,1.1,1.4,.786,0.2,0.7,0.9,0.5,0.3,0.1,0.8,2.0,2.9,7352
12243,1973-74,24,lal,nba,c,5,"",34.2,8.4,17.6,.477,,,,,,,,2.4,3.4,.706,3.8,6.8,10.6,1.2,1.4,1.6,"",4.0,19.2,7359
